method,iteration,step_time_ms,loss
unet_gsl,1,54.90231000294443,2.675734758377075
unet_gsl,2,55.12297399400268,2.675734758377075
unet_gsl,3,53.43632699805312,2.675734758377075
unet_gsl,4,51.7263229994569,2.675734758377075
unet_gsl,5,51.7300169885857,2.675734758377075
unet_gsl,6,51.558416002080776,2.675734758377075
unet_gsl,7,51.803102003759705,2.675734758377075
unet_gsl,8,50.461913997423835,2.675734758377075
unet_gsl,9,53.134791989577934,2.675734758377075
unet_gsl,10,51.86361800588202,2.6757349967956543
unet_gsl,11,53.18635799631011,2.675734758377075
unet_gsl,12,52.396336002857424,2.675734758377075
unet_gsl,13,51.58253099943977,2.675734519958496
unet_gsl,14,52.66263798694126,2.675734758377075
unet_gsl,15,51.81691100005992,2.675734758377075
unet_gsl,16,52.04491699987557,2.675734758377075
unet_gsl,17,51.79518900695257,2.675734758377075
unet_gsl,18,52.28707801143173,2.675734758377075
unet_gsl,19,52.985641988925636,2.675734758377075
unet_gsl,20,52.37836600281298,2.675734758377075
unet_gsl,21,50.86573999142274,2.675734758377075
unet_gsl,22,53.89472500246484,2.675734758377075
unet_gsl,23,52.33111898996867,2.675734758377075
unet_gsl,24,51.68379699171055,2.675734758377075
unet_gsl,25,51.76737300644163,2.675734758377075
unet_gsl,26,50.48769200220704,2.675734758377075
unet_gsl,27,53.108791005797684,2.675734758377075
unet_gsl,28,51.50131499976851,2.675734758377075
unet_gsl,29,52.270582993514836,2.675734758377075
unet_gsl,30,52.20009399636183,2.675734758377075
unet_gsl,31,50.88627099758014,2.675734758377075
unet_gsl,32,53.40501299360767,2.675734758377075
unet_gsl,33,51.425539000774734,2.675734758377075
unet_gsl,34,52.23121200106107,2.675734758377075
unet_gsl,35,52.88449701038189,2.675734758377075
unet_gsl,36,50.96498000784777,2.675734758377075
unet_gsl,37,54.43679699965287,2.675734758377075
unet_gsl,38,53.173381005763076,2.675734758377075
unet_gsl,39,51.40530999051407,2.675734758377075
unet_gsl,40,52.972160003264435,2.675734758377075
